"","X","PROGRAM.TYPE","PROGRAM","SITE.NAME","BOROUGH...COMMUNITY","AGENCY","Contact.Number","Grade.Level...Age.Group","Location.1","Postcode","Latitude","Longitude"
"209",209,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 249 - The Caton School","Brooklyn","CAMBA, Inc.","718-282-5575","A parent 16 Years Old or Older ","18 Marlborough Road",11226,40.64971,-73.966046
"210",210,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Vannguard Urban Improvement Association, Inc. - ","Brooklyn","Vannguard Urban Improvement Association, Inc. - ","718-453-3330 ","14 to 24","141 Macon Street",11216,40.681572,-73.945446
"211",211,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Friends Ed Center","Brooklyn","Friends of Crown Heights Educational Center","(718) 638-8686","OST","671 Prospect Place",11216,40.674695,-73.954594
"212",212,"After-School Programs","Teen Action Program","MS. 035 Stephen Decatur (K035)","Brooklyn","SCO Family of Services","718.919.1226","13 to 21","272 Macdonough Street",11233,40.681896,-73.935963
"213",213,"After-School Programs","Out of School Time","P.S. 92 ADRIAN HEGEMAN","Brooklyn","CAMBA  ","(718) 287-1216","Elementary","601 Parkside Avenue",11226,40.656046,-73.953742
"214",214,"Jobs & Internships,Youth Employment","Summer Youth Employment ","St. Mary's Community Services, Inc.","Brooklyn","St. Mary's Community Services, Inc.","718-230-0827 ","14 to 24","230 Classon Avenue",11205,40.692769,-73.960824
"215",215,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","3300 Coney Island Avenue",11235,40.575607,-73.959463
"216",216,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","PSS/WSF GrandParent Family Apartment","Bronx","Manhattan Legal Services","(212) 874-6633","Middle School","951 Prospect Avenue",10459,40.822317,-73.900535
"217",217,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Bedford Stuyvesant Restoration Corporation","Brooklyn","Bedford Stuyvesant Restoration Corporation","718.636.6931","High School","1368 Fulton Street",11216,40.680175,-73.945717
"218",218,"After-School Programs","Out of School Time","Yeshiva Kehilath Yakov - Boys","Brooklyn","Yeshiva Kehilath Yakov","(718) 972-2900","Elementary","4706 10th Avenue",11219,40.640015,-73.997694
"219",219,"After-School Programs","Out of School Time","Canarsie HS","Brooklyn","Global Kids, Inc.","(212) 226-0130","High School","1600 Rockaway Parkway",11236,40.641474,-73.898254
"220",220,"After-School Programs","Out of School Time","I.S. 73 I.S. 73 - THE FRANK SA","Queens","Maspeth Town Hall, Inc.","(718) 335-6049","Middle School","70 02 54 Avenue",11378,40.729215,-73.893624
"221",221,"After-School Programs","Out of School Time","St. James Rec","Bronx","Childrens Arts & Science Workshops, Inc.","(212) 542-0578","Elem/MS/HS","2530 Jerome Avenue",10468,40.864777,-73.899489
"222",222,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SQPA-NY Southern Queens Park Association NY","Queens","SQPA-NY Southern Queens Park Association NY","(718) 276-4630","16+","177 01 Baisley Boulevard",11434,40.686284,-73.768455
"223",223,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Public School 314 - Luis Munoz Marin Elementary School","Brooklyn","SCO Family of Services","516.671.1253","High School","330 59th Street",11220,40.642121,-74.018997
"224",224,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 44 THOMAS BROWN SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 644-1318","OST","80 MAPLE PARKWAY",10303,40.63179,-74.156439
"225",225,"After-School Programs","Out of School Time","51 AVENUE ACADEMY PATH TOQ877","Queens","Coalition for Hispanic Family Services","(347) 768-0241","Elementary","76 05 51 AVENUE",11373,40.73679,-73.887438
"226",226,"Immigration Services,Immigrant Support Services","Domestic Violence Program","Kensington Self-Help ","Brooklyn","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","419 Church Ave",11218,40.644278,-73.975947
"227",227,"After-School Programs","Out of School Time","Cornerstone Academy for Social","Bronx","Sports and Arts In Schools Foundation, Inc.","(347) 417-8159","Elementary","3441 Steenwick Avenue",10475,40.883025,-73.830366
"228",228,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","I.S.117 JOSEPH H WADE (X117)","Bronx","PS 126 JACOB AUGUST RIIS (M126)","(212) 652-2812","Middle School","1865 MORRIS AVENUE",10453,40.848516,-73.908427
"229",229,"After-School Programs,Summer Program,Summer Camp","Out of School Time","CYO","Staten Island","Catholic Charities Community Service, Archdiocese of N Y","(718) 448-4949","Elementary","120 Anderson Avenue",10302,40.634927,-74.134422
"230",230,"Jobs & Internships,Youth Employment","Summer Youth Employment ","New York City Housing Authority - Brooklyn","Brooklyn","New York City Housing Authority - Brooklyn","212-306-3985","14 to 24","350 Livingston Street",11217,40.687775,-73.980979
"231",231,"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 109 SEDGWICK SCHOOL","Bronx","Bronx Arts Ensemble","(718) 601-7399","Elementary","1771 Popham Avenue",10453,40.851414,-73.918533
"232",232,"After-School Programs","Out of School Time","P.S. 223 LYNDON BAINES JOHNSON","Queens","The Child Center of New York (QCG) ","(347) 510-4895","Elementary","125 20 SUTPHIN BOULEVARD",11434,40.674519,-73.789399
"233",233,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","The Door - A Center of Alternatives","New York","The Door - A Center of Alternatives","212.941.9090","16 to 21","121 Avenue
of the Americas ",10013,40.723903,-74.00469
"234",234,"After-School Programs","Out of School Time","Kips Bay 1","Bronx","Kips Bay Boys & Girls Club","(718) 893-8254","Elem/MS/HS","1930 Randall Avenue",10473,40.817841,-73.856704
"235",235,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 149 THE DANNY KAYE SCHOOL","Brooklyn","Brooklyn Bureau of Community Services","(347) 834-3097","Elementary","700 Sutter Avenue",11207,40.669719,-73.892822
"236",236,"After-School Programs","Out of School Time","P.S. 186 CASTLEWOOD SCHOOL","Queens","Samuel Field YM & YWHA, Inc.","(718) 225-6750","Elementary","252 12 72 AVENUE",11426,40.750007,-73.721607
"237",237,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Grace Dodge Vocational High School - H.S. 660","Bronx","Mid-Bronx Council Services, Inc.","718.588.8200","High School","2474 Crotona Avenue",10458,40.855698,-73.882715
"238",238,"Family Support,NDA Programs"," Housing","Cypress Hills Local Development","Brooklyn","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670)","(718) 674-2800","Adults","3214 Fulton Street",11208,40.682465,-73.876328
"239",239,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 85 P.S. 85","Bronx","New York City Mission Society","(718) 583-7200","OST","2400 Marion Avenue",10458,40.8591,-73.894946
"240",240,"Family Support,NDA Programs"," Housing","South Brooklyn Legal Services, Inc.","Brooklyn","INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524)","(718) 237-5500","Adults","105 Court Street",11201,40.690793,-73.991825
"241",241,"After-School Programs","Out of School Time","P.S. 21 EDWARD HART SCHOOL","Queens","YMCA of Greater New York/Flushing","(347) 776-1881","Elementary","147 36 26th Avenue",11354,40.774512,-73.819284
"242",242,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 92 - Harry T Stewart Senior","Queens","Coalition for Hispanic Family Services","718-497-6090","A parent 16 Years Old or Older ","99 01 34 Avenue",11368,40.755418,-73.869017
"243",243,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Warren Street Center","Brooklyn","Sunset Bay Community Services, Inc","(718) 237-9578","OST","343 Warren Street",11201,40.685037,-73.990254
"244",244,"After-School Programs","Out of School Time","P.S. 250","Brooklyn","New York Junior Tennis League","(367) 405-6196","Elementary","108 Montrose Avenue",11206,40.707104,-73.945475
"245",245,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Mosholu Montefiore Community Center, Inc.","Bronx","Mosholu Montefiore Community Center, Inc.","718.882.4000","High School","3400 Reservoir Oval",10467,40.878889,-73.87581
"246",246,"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 55 BENJAMIN FRANKLIN SC","Bronx","Supportive Childrens Advocacy Network (SCAN)","(718) 681-6227","OST","450 SAINT PAULS PLACE",10456,40.836404,-73.905014
"247",247,"Immigration Services,Immigrant Support Services","Legal Assistance Program","Flushing Immigration Center - CUNY","Queens","Research Foundation of CUNY","718-640-9223","All Ages","39 07 Prince St",11354,40.759543,-73.832255
"248",248,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Foster-Laurie","Queens","Police Athletic League, Inc.","212.477.6504","High School","199 10 112th Avenue",11412,40.702514,-73.756595
"249",249,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Asociaciones Dominicanas, Inc - Vulnerable Youth","Brooklyn","Asociaciones Dominicanas, Inc - Vulnerable Youth","718-599-2386 ","14 to 24","202 Union Avenue
ste L&M ",11211,40.706403,-73.950356
"250",250,"After-School Programs","Beacon","IS 220","Brooklyn","Chinese American Planning Council","718.436.5270","6 and up","4812 9th Avenue",11220,40.640545,-74.000731
"251",251,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Mt. Ararat Presentation Senior Center","Brooklyn","YWCA of Queens","(718) 345-5665","Seniors","1630 St Marks Avenue",11233,40.673166,-73.912849
"252",252,"After-School Programs","Out of School Time","SOBRO-Evander","Bronx","South Bronx Overall Economic Development Corp.","(718) 732-7561","High School","800 Gun Hill Road",10467,40.875953,-73.86197
"253",253,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Flatbush YMCA","Brooklyn","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","1401 Flatbush Avenue",11210,40.636511,-73.951539
"254",254,"After-School Programs","Out of School Time","P.S. 152 GWENDOLINE ALLEYNE SC","Queens","Woodside On The Move, Inc.","(718) 476-8449","Elementary","33 52 62 STREET",11377,40.753037,-73.900123
"255",255,"After-School Programs","Out of School Time","Brooklyn Collegiate 2","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 922-1145","High School","2240 Dean Street",11233,40.674832,-73.91258
"256",256,"After-School Programs","Out of School Time","P.S. 7 ABRAHAM LINCOLN SCHOOL","Brooklyn","Cypress Hills Local Development Corporation","(718) 235-2345","Elementary","858 JAMAICA AVENUE",11208,40.689697,-73.873109
"257",257,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Grand Street Settlement","New York","Jewish Community Council of Greater Coney Island, Inc","(646) 201-4288","Middle School","80 Pitt Street",10002,40.718328,-73.98245
"258",258,"NDA Programs,Senior Programs,Older Adult Program","Seniors","IPR/HE Brooklyn Caregivers","Brooklyn","Khalil Gibran International Academy","(212) 677-4181","Seniors","1368 Fulton St",11216,40.680175,-73.945717
"259",259,"Family Support,NDA Programs"," Housing","FAC Center for Community Development","Brooklyn","Cypress Hills Local Development","(718) 237-2017","Adults","621 DeGraw Street",11217,40.678948,-73.982857
"260",260,"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Make the Road New York-Jackson Heights Center","Queens","Make the Road New York","718.565.8500","ESOL/Civics","71 24 Roosevelt Avenue Jackson Heights",11372,40.746551,-73.894199
"261",261,"After-School Programs","Beacon","JHS 265","Brooklyn","Goodwill Industries of Greater NY","718.237.0852","6 and up","101 Park Ave",11205,40.696324,-73.97578
"262",262,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 307 PS 307 DANIEL HALE WI","Brooklyn","Directions For Our Youth, Inc.","(646) 592-0754","Elementary","209 YORK STREET",11201,40.701343,-73.982314
"263",263,"After-School Programs","Teen Action Program","New School @ PS 314","Brooklyn","SCO Family of Services","718.788.3500","13 to 21","330 59th Street",11220,40.642121,-74.018997
"264",264,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Mercy House","Bronx","Tompkins Park Senior Center","(718) 542-0006","Seniors","4170 Carpenter Avenue",10466,40.893523,-73.860689
"265",265,"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 61 WILLIAM MORRIS SCHOOL","Staten Island","The Childrens Aid Society","(718) 727-8481","Middle School","445 Castleton Avenue",10301,40.634009,-74.097826
"266",266,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 229 DYKER SCHOOL","Brooklyn","St. Rosalia-Regina Pacis Neighborhood Improvement","(718) 236-5447","OST","1400 Benson Avenue",11228,40.610963,-74.013376
"267",267,"Family Support,NDA Programs"," Housing","Shorefront Jewish Community Council","Brooklyn","Flatbush Development Corporation","(718) 743-0575","Adults","3049 Brighton 6th Street",11235,40.578435,-73.961751
"268",268,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Sesame Flyers International, Inc.","Brooklyn","Sesame Flyers International, Inc.","718.693.0500","High School","3510 Church Avenue",11203,40.651066,-73.944555
"269",269,"After-School Programs","Out of School Time","P.S. 11 PURVIS J. BEHAN SCHOOL","Brooklyn","YMCA of Greater New York/Dodge YMCA","(718) 398-3134","Elementary","419 Waverly Avenue",11238,40.685491,-73.966291
"270",270,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Elmcor Youth and Adult Activities, Inc.","Queens","Elmcor Youth & Adult Activities, Inc.","718.651.0096","High School","33 16 108th Street",11368,40.757429,-73.860938
"271",271,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","387 Kingston Avenue",11225,40.665708,-73.942532
"272",272,"After-School Programs","Out of School Time","H.S. 305 PABLO NERUDA ACADEMY","Bronx","OPUS Dance Theatre and Community Services Inc.","(646) 670-0516","High School","1980 Lafayette Avenue",10473,40.82229,-73.856167
"273",273,"Immigration Services,Immigrant Support Services","Domestic Violence Program","Safe Space - Family Resource Center (Jamaica)","Queens","Safe Space","718.785.9062","All Ages","90 25 161st Street",11432,40.705199,-73.799253
"274",274,"After-School Programs","Out of School Time","P.S. 127 MCKINLEY PARK SCHOOL","Brooklyn","Young Dancers In Repertory, Inc.","(347) 702-7155","Elementary","7805 7th Avenue",11228,40.624132,-74.018826
"275",275,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6","Brooklyn","The Children's Art Carnival","(718) 951-5015"," High School","145 PENNSYLVANIA AVENUE",11207,40.674135,-73.89643
"276",276,"After-School Programs","Out of School Time","Beach Channel HS","Queens","Rockaway Development & Revitalization Corporation","(718) 945-6900","High School","100 00 Beach Channel Drive",11694,40.586066,-73.822624
"277",277,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Council of Jewish Organization of Flatbush, Inc.","Brooklyn","St. Raymond Community Outreach","(718) 377-2900","Seniors","1658 Coney Island Avenue",11230,40.616964,-73.963703
"278",278,"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Legal Aid - Juvenile Rights Division","Manhattan","The Legal Aid Society","212.577.3328","20-May","199 Water Street",10038,40.70727,-74.004314
"279",279,"NDA Programs,Senior Programs,Older Adult Program","Seniors","St. Luke's","Bronx","Variety Boys & Girls Club of Queens","(718) 542-0006","Seniors","3911 Barnes Avenue",10466,40.885201,-73.858541
"280",280,"After-School Programs","Out of School Time","Forest Hills (Jackson Heights)","Queens","Queens Community House, Inc","(718) 898-7461","MS/HS","74 09 37th Avenue",11372,40.748992,-73.891561
"281",281,"After-School Programs","Teen Action Program","IS 136 Charles O. Dewey","Brooklyn","SCO Family of Services","718.633.4823","13 to 21","4004 Fourth Avenue",11232,40.651977,-74.006862
"282",282,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Queens OCFS","Queens","Henry Street Settlement, Inc. - Queens ","718-557-8861","14 to 24","168 25 Jamaica Avenue",11432,40.706582,-73.791811
"283",283,"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA PINK HOUSES","Brooklyn","East New York Development Corporation @ Louis H. Pink Community Center","(718) 964-9043","6 and up","2702 Linden Blvd",11208,40.669208,-73.864514
"284",284,"After-School Programs","Out of School Time","I.S. 49 WILLIAM GAYNOR  INTERM","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 387-7697","Middle School","223 Graham Avenue",11206,40.709941,-73.943641
"285",285,"After-School Programs","Out of School Time","I.S. 171 ABRAHAM LINCOLN SCHOOL","Brooklyn","Cypress Hills Local Development Corporation","(718) 235-1028","Middle School","528 Ridgewood Avenue",11208,40.68618,-73.869625
"286",286,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Catholic Charities Neighborhood Services","Queens","Catholic Charities Neighborhood Services","718.726.9790 ext.127","16 to 21","23 40 Astoria Boulevard",11102,40.771582,-73.92375
"287",287,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 31 WILLIAM T. DAVIS SCHOO","Staten Island","Jewish Community Center of Staten Island, Inc.","(718) 273-4820","OST","55 LAYTON AVENUE",10301,40.641595,-74.085135
"288",288,"After-School Programs","Out of School Time","Excel Program","Manhattan","Growth and Development Services, Inc.","(212) 740-7040","High School","216 Ft Washington Avenue",10032,40.842571,-73.942097
"289",289,"Jobs & Internships,Youth Employment","Summer Youth Employment ","SCO Family of Services","Brooklyn","SCO Family of Services","718-788-3500 ","14 to 24","345 43rd Street",11232,40.651013,-74.009514
"290",290,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 18 EDWARD BUSH SCHOOL","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 599-9224","OST","101 MAUJER STREET",11206,40.710609,-73.946977
"291",291,"After-School Programs","Out of School Time","PS 169-Bay Terrace 1","Queens","Samuel Field YM & YWHA, Inc.","(718) 423-6111","Elementary","18 25 212th Street",11360,40.782298,-73.779099
"292",292,"After-School Programs","Out of School Time","George Conliffe Center","Brooklyn","George C. Conliffe Child Care Center","(718) 778-1498","Elementary","1435 Prospect Place",11213,40.673175,-73.929039
"293",293,"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 311 ESSENCE SCHOOL","Brooklyn","SCO Family of Services","(718) 485-5130","OST","590 SHEFFIELD AVENUE",11207,40.662326,-73.894441
"294",294,"After-School Programs","Teen Action Program","Albert Shanker School for Visual and Performing Arts ","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","718.204.6797","13 to 21","31 51 21st Street",11106,40.766264,-73.930709
"295",295,"After-School Programs","Out of School Time","P.S./I.S. 328 PHILLIS WHEATLEY","Brooklyn","Groundwork Inc.","(718) 346-2200","Middle School","330 Alabama Avenue",11207,40.668167,-73.897835
"296",296,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","IS 8 - R. S. Grossley Junior High School","Queens","SQPA-NY Southern Queens Park Association NY","(718) 276-4630","16+","108 35 167th Street",11433,40.69719,-73.787192
"297",297,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Rockaway Development & Revitalization Corporation","Queens","Rockaway Development & Revitalization Corporation","718.327.5300","High School","1920 Mott Avenue",11691,40.603907,-73.752262
"298",298,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 81 THADDEUS STEVENS SCHOO","Brooklyn","SCO Family of Services","(718) 602-6082","OST","990 DEKALB AVENUE",11221,40.693161,-73.935765
"299",299,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 197 OCEAN SCHOOL","Queens","YMCA of Greater New York/Cross Island","(917) 704-1239","OST","8 25 HICKSVILLE ROAD",11691,40.600199,-73.743968
"300",300,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 18 JOHN GREENLEAF WHITTIE","Staten Island","United Activities Unlimited, Inc.","(718) 448-4834","OST","221 BROADWAY",10310,40.636587,-74.117509
"301",301,"After-School Programs","Out of School Time","Far Rockaway - Opt 2","Queens","Madison Square Boys & Girls Club","(718) 471-5453","Elem/MS/HS","426 Beach 40th Street",11691,40.596249,-73.772408
"302",302,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center","Bronx","St. John The Baptist School","(718) 231-9800"," High School","1400 Pelham Parkway",10461,40.857427,-73.847079
"303",303,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Sauti Yetu Center for African Women","Bronx","Citizens Advice Bureau","(718) 665-2486"," High School","2417 Third Avenue",10451,40.808492,-73.930665
"304",304,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 121 THE THROOP SCHOOL","Bronx","New York Junior Tennis League","(718) 231-3239","OST","2750 THROOP AVENUE",10469,40.86608,-73.850982
"305",305,"After-School Programs","Out of School Time","P.S. 92 HARRY T. STEWART SR. S","Queens","Coalition for Hispanic Family Services","(718) 497-6090","Elementary","99 01 34 AVENUE",11368,40.755418,-73.869017
"306",306,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Community Association of Progressive Dominicans - Manhattan","Manhattan","Community Association of Progressive Dominicans - Manhattan","212-781-4955","14 to 24","2268 Amsterdam Avenue",10032,40.842691,-73.934876
"307",307,"After-School Programs","Out of School Time","Forest Hills 1( Forest Hills)","Queens","Queens Community House, Inc","(718) 592-5757","MS/HS","108 25 62nd Drive",11375,40.73591,-73.850212
"308",308,"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","F.E.G.S Brooklyn Resource Center","Brooklyn","JHS 292 MARGARET S DOUGLAS (K292)","(212) 366-8531","Adults","938 Kings Highway",11223,40.607066,-73.962714
"309",309,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Washington Houses","Manhattan","Union Settlement Association","(212) 828-6120","OST","1775 Third Avenue",10029,40.786574,-73.948303
"310",310,"Family Support,NDA Programs"," Housing","Legal Services NYC-Bronx","Bronx","Abigail Mejia Technology Center","(718) 928-3736","Adults","579 Courtlandt Avenue",10451,40.817397,-73.919178
"311",311,"After-School Programs","Out of School Time","Yeshiva Kehilath Yakov - Girls","Brooklyn","Yeshiva Kehilath Yakov","(718) 963-1212","Elementary","1402 40th Street",11218,40.63851,-73.984316
"312",312,"After-School Programs,Summer Program,Summer Camp","Out of School Time","KNOWLEDGE & POWER PREPARATORY","Queens","Safe Space","(718) 276-2481ï¿½","OST","1045 Nameoke Street",11691,40.603622,-73.749097
"313",313,"After-School Programs","Out of School Time","Joel E. Smilow","Bronx","Madison Square Boys & Girls Club","(718) 328-3900","High School","1665 Hoe Avenue",10460,40.835837,-73.887567
"314",314,"After-School Programs","Out of School Time","Harry S. Truman HS (X455)","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 904-5457","High School","750 Baychester Avenue",10475,40.874091,-73.833904
"315",315,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Latin American Integration Center","Queens","Make the Road New York","(718) 418-7690 x 211","16+","71 24 Roosevelt Avenue",11372,40.746551,-73.894199
"316",316,"After-School Programs","Out of School Time","P.S./I.S. 124 OSMOND A. CHURCH","Queens","South Asian Youth Action","(347) 272-0740","Elementary","129 15 150 Avenue",11420,40.665058,-73.811701
"317",317,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Greater Ridgewood Youth Council, Inc.","Queens","Greater Ridgewood Youth Council, Inc.","718.456.5437","High School","62 04 Myrtle Avenue",11385,40.700894,-73.893211
"318",318,"After-School Programs,Summer Program,Summer Camp","Out of School Time","United Community Day Care","Brooklyn","United Community Day Care Center, Inc","(718) 385-1201","OST","613 New Lots Avenue",11207,40.664728,-73.886561
"319",319,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Jacob Riis Neighborhood Settlement House","Queens","Staten Island Community Center","(718) 784-7447"," High School","10 25 41st Avenue",11101,40.755488,-73.945328
"320",320,"After-School Programs","Out of School Time","M.S. 53 BRIAN PICCOLO SCHOOL","Queens","Rockaway Artist Alliance, Inc.","","Middle School","1045 Nameoke Street",11691,40.603622,-73.749097
"321",321,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Murray Bergtraum HS","New York","BCA Sunset Park Asian Senior Center","(212) 748-1225"," High School","411 Pearl Street",10038,40.711442,-74.000851
"322",322,"After-School Programs","Out of School Time","Arthur Ashe Institute","Brooklyn","Arthur Ashe Institute for Urban Health, Inc","(718) 270-2600","High School","450 Clarkson Avenue",11203,40.655743,-73.944598
"323",323,"After-School Programs","Beacon","IS 218","Brooklyn","Police Athletic League (PAL)","718.277.1928","6 and up","370 Fountain Avenue",11208,40.670724,-73.874208
"324",324,"After-School Programs","Out of School Time","P.S./I.S. 140 THE NATHAN STRAU","Manhattan","Educational Alliance, Inc.","(646) 214-1069","Elementary","123 RIDGE STREET",10002,40.71925,-73.983056
"325",325,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 19 CURTIS SCHOOL","Staten Island","YMCA of Greater New York/Staten Island YMCA","(718) 889-3477","OST","780 POST AVENUE",10310,40.631214,-74.127101
"326",326,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Jacob A. Riis Neighborhood Settlement, Inc.","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","718-784-7447 ","14 to 24","10 25 41st Avenue",11101,40.755488,-73.945328
"327",327,"Family Support,NDA Programs"," Housing","RBSCC","Brooklyn","Red Hook Youth Court Internship","(718) 366-3800","Adults","217 Wyckoff Avenue",11237,40.702153,-73.915751
"328",328,"After-School Programs","Out of School Time","P.S./I.S. 266 P.S./I.S. 266","Queens","Samuel Field YM & YWHA, Inc.","(718) 479-3920","Middle School","7410 Commonwealth Boulevard",11426,40.746231,-73.727614
"329",329,"Family Support,NDA Programs"," Housing","Citizen","Bronx","I.S.117 JOSEPH H WADE (X117)","(718) 293-0727","Adults","632 Southern Boulevard",10455,40.812991,-73.90108
"330",330,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Queens Gateway to Health and Sciences Secondary School","Queens","SEBCO Father Banome Senior Housing","(212) 630-6980","Middle School","150 91 87th Road",11432,40.707527,-73.806412
"331",331,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Queens","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","35 33 104th Street",11368,40.75468,-73.864138
"332",332,"After-School Programs","Out of School Time","P.S. /I.S.298 DR. BETTY SHABAZ","Brooklyn","CAMBA  ","(718) 922-0796","Elementary","85 Watkins Street",11212,40.670986,-73.908194
"333",333,"After-School Programs","Teen Action Program","Isabella Geriatric Center, Inc.","New York","Isabella Geriatric Center, Inc.","212.342.9352","13 to 21","515 Audubon Avenue",10040,40.854783,-73.927909
"334",334,"After-School Programs","Out of School Time","M353 NEW HEIGHTS ACADEMY","Manhattan","Inwood House","(212) 234-2754","Middle School","1818 AMSTERDAM AVENUE",10031,40.828498,-73.945239
"335",335,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S./H.S 80 MICHAEL J. PETRIDE","Staten Island","Police Athletic League, Inc.","(718) 390-0876","Elementary","715 Ocean Terrace",10301,40.608517,-74.102078
"336",336,"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Refugee and Immigrant Services","Brooklyn","Guardians of the Sick, Inc.","(718) 777-6326","Adults","1416 Ave
M ",11230,40.617962,-73.960396
