,Unnamed: 0,PROGRAM.TYPE,PROGRAM,SITE.NAME,BOROUGH...COMMUNITY,AGENCY,Contact.Number,Grade.Level...Age.Group,Location.1,Postcode,Latitude,Longitude
281,282,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Queens OCFS,Queens,"Henry Street Settlement, Inc. - Queens ",718-557-8861,14 to 24,168 25 Jamaica Avenue,11432,40.706582,-73.791811
282,283,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA PINK HOUSES,Brooklyn,East New York Development Corporation @ Louis H. Pink Community Center,(718) 964-9043,6 and up,2702 Linden Blvd,11208,40.669208000000005,-73.864514
283,284,After-School Programs,Out of School Time,I.S. 49 WILLIAM GAYNOR  INTERM,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 387-7697,Middle School,223 Graham Avenue,11206,40.709941,-73.943641
284,285,After-School Programs,Out of School Time,I.S. 171 ABRAHAM LINCOLN SCHOOL,Brooklyn,Cypress Hills Local Development Corporation,(718) 235-1028,Middle School,528 Ridgewood Avenue,11208,40.68618,-73.869625
285,286,"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),Catholic Charities Neighborhood Services,Queens,Catholic Charities Neighborhood Services,718.726.9790 ext.127,16 to 21,23 40 Astoria Boulevard,11102,40.771582,-73.92375
286,287,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 31 WILLIAM T. DAVIS SCHOO,Staten Island,"Jewish Community Center of Staten Island, Inc.",(718) 273-4820,OST,55 LAYTON AVENUE,10301,40.641595,-74.085135
287,288,After-School Programs,Out of School Time,Excel Program,Manhattan,"Growth and Development Services, Inc.",(212) 740-7040,High School,216 Ft Washington Avenue,10032,40.842571,-73.942097
288,289,"Jobs & Internships,Youth Employment",Summer Youth Employment ,SCO Family of Services,Brooklyn,SCO Family of Services,718-788-3500 ,14 to 24,345 43rd Street,11232,40.651013,-74.009514
289,290,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 18 EDWARD BUSH SCHOOL,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,OST,101 MAUJER STREET,11206,40.710609000000005,-73.946977
290,291,After-School Programs,Out of School Time,PS 169-Bay Terrace 1,Queens,"Samuel Field YM & YWHA, Inc.",(718) 423-6111,Elementary,18 25 212th Street,11360,40.782298,-73.779099
291,292,After-School Programs,Out of School Time,George Conliffe Center,Brooklyn,George C. Conliffe Child Care Center,(718) 778-1498,Elementary,1435 Prospect Place,11213,40.673175,-73.929039
292,293,"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 311 ESSENCE SCHOOL,Brooklyn,SCO Family of Services,(718) 485-5130,OST,590 SHEFFIELD AVENUE,11207,40.662326,-73.894441
293,294,After-School Programs,Teen Action Program,Albert Shanker School for Visual and Performing Arts ,Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.204.6797,13 to 21,31 51 21st Street,11106,40.766264,-73.930709
294,295,After-School Programs,Out of School Time,P.S./I.S. 328 PHILLIS WHEATLEY,Brooklyn,Groundwork Inc.,(718) 346-2200,Middle School,330 Alabama Avenue,11207,40.668167,-73.897835
296,297,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,High School,1920 Mott Avenue,11691,40.603907,-73.752262
297,298,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 81 THADDEUS STEVENS SCHOO,Brooklyn,SCO Family of Services,(718) 602-6082,OST,990 DEKALB AVENUE,11221,40.693160999999996,-73.935765
298,299,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 197 OCEAN SCHOOL,Queens,YMCA of Greater New York/Cross Island,(917) 704-1239,OST,8 25 HICKSVILLE ROAD,11691,40.600198999999996,-73.74396800000001
299,300,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 18 JOHN GREENLEAF WHITTIE,Staten Island,"United Activities Unlimited, Inc.",(718) 448-4834,OST,221 BROADWAY,10310,40.636587,-74.117509
300,301,After-School Programs,Out of School Time,Far Rockaway - Opt 2,Queens,Madison Square Boys & Girls Club,(718) 471-5453,Elem/MS/HS,426 Beach 40th Street,11691,40.596249,-73.772408
301,302,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center,Bronx,St. John The Baptist School,(718) 231-9800, High School,1400 Pelham Parkway,10461,40.857427,-73.84707900000001
302,303,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Sauti Yetu Center for African Women,Bronx,Citizens Advice Bureau,(718) 665-2486, High School,2417 Third Avenue,10451,40.808492,-73.930665
303,304,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 121 THE THROOP SCHOOL,Bronx,New York Junior Tennis League,(718) 231-3239,OST,2750 THROOP AVENUE,10469,40.86608,-73.850982
304,305,After-School Programs,Out of School Time,P.S. 92 HARRY T. STEWART SR. S,Queens,Coalition for Hispanic Family Services,(718) 497-6090,Elementary,99 01 34 AVENUE,11368,40.755418,-73.869017
305,306,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Community Association of Progressive Dominicans - Manhattan,Manhattan,Community Association of Progressive Dominicans - Manhattan,212-781-4955,14 to 24,2268 Amsterdam Avenue,10032,40.842690999999995,-73.934876
306,307,After-School Programs,Out of School Time,Forest Hills 1( Forest Hills),Queens,"Queens Community House, Inc",(718) 592-5757,MS/HS,108 25 62nd Drive,11375,40.73591,-73.850212
307,308,"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,F.E.G.S Brooklyn Resource Center,Brooklyn,JHS 292 MARGARET S DOUGLAS (K292),(212) 366-8531,Adults,938 Kings Highway,11223,40.607065999999996,-73.962714
308,309,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Washington Houses,Manhattan,Union Settlement Association,(212) 828-6120,OST,1775 Third Avenue,10029,40.786574,-73.94830300000001
309,310,"Family Support,NDA Programs", Housing,Legal Services NYC-Bronx,Bronx,Abigail Mejia Technology Center,(718) 928-3736,Adults,579 Courtlandt Avenue,10451,40.817397,-73.919178
310,311,After-School Programs,Out of School Time,Yeshiva Kehilath Yakov - Girls,Brooklyn,Yeshiva Kehilath Yakov,(718) 963-1212,Elementary,1402 40th Street,11218,40.63851,-73.984316
311,312,"After-School Programs,Summer Program,Summer Camp",Out of School Time,KNOWLEDGE & POWER PREPARATORY,Queens,Safe Space,(718) 276-2481ï¿½,OST,1045 Nameoke Street,11691,40.603621999999994,-73.74909699999999
312,313,After-School Programs,Out of School Time,Joel E. Smilow,Bronx,Madison Square Boys & Girls Club,(718) 328-3900,High School,1665 Hoe Avenue,10460,40.835837,-73.887567
313,314,After-School Programs,Out of School Time,Harry S. Truman HS (X455),Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 904-5457,High School,750 Baychester Avenue,10475,40.874091,-73.833904
315,316,After-School Programs,Out of School Time,P.S./I.S. 124 OSMOND A. CHURCH,Queens,South Asian Youth Action,(347) 272-0740,Elementary,129 15 150 Avenue,11420,40.665058,-73.811701
316,317,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"Greater Ridgewood Youth Council, Inc.",Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,62 04 Myrtle Avenue,11385,40.700894,-73.893211
317,318,"After-School Programs,Summer Program,Summer Camp",Out of School Time,United Community Day Care,Brooklyn,"United Community Day Care Center, Inc",(718) 385-1201,OST,613 New Lots Avenue,11207,40.664728000000004,-73.886561
318,319,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Jacob Riis Neighborhood Settlement House,Queens,Staten Island Community Center,(718) 784-7447, High School,10 25 41st Avenue,11101,40.755488,-73.945328
319,320,After-School Programs,Out of School Time,M.S. 53 BRIAN PICCOLO SCHOOL,Queens,"Rockaway Artist Alliance, Inc.",,Middle School,1045 Nameoke Street,11691,40.603621999999994,-73.74909699999999
321,322,After-School Programs,Out of School Time,Arthur Ashe Institute,Brooklyn,"Arthur Ashe Institute for Urban Health, Inc",(718) 270-2600,High School,450 Clarkson Avenue,11203,40.655743,-73.944598
322,323,After-School Programs,Beacon,IS 218,Brooklyn,Police Athletic League (PAL),718.277.1928,6 and up,370 Fountain Avenue,11208,40.670724,-73.874208
323,324,After-School Programs,Out of School Time,P.S./I.S. 140 THE NATHAN STRAU,Manhattan,"Educational Alliance, Inc.",(646) 214-1069,Elementary,123 RIDGE STREET,10002,40.71925,-73.983056
324,325,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 19 CURTIS SCHOOL,Staten Island,YMCA of Greater New York/Staten Island YMCA,(718) 889-3477,OST,780 POST AVENUE,10310,40.631214,-74.127101
325,326,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718-784-7447 ,14 to 24,10 25 41st Avenue,11101,40.755488,-73.945328
326,327,"Family Support,NDA Programs", Housing,RBSCC,Brooklyn,Red Hook Youth Court Internship,(718) 366-3800,Adults,217 Wyckoff Avenue,11237,40.702153,-73.915751
327,328,After-School Programs,Out of School Time,P.S./I.S. 266 P.S./I.S. 266,Queens,"Samuel Field YM & YWHA, Inc.",(718) 479-3920,Middle School,7410 Commonwealth Boulevard,11426,40.746231,-73.727614
328,329,"Family Support,NDA Programs", Housing,Citizen,Bronx,I.S.117 JOSEPH H WADE (X117),(718) 293-0727,Adults,632 Southern Boulevard,10455,40.812991,-73.90108000000001
329,330,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Queens Gateway to Health and Sciences Secondary School,Queens,SEBCO Father Banome Senior Housing,(212) 630-6980,Middle School,150 91 87th Road,11432,40.707527,-73.806412
331,332,After-School Programs,Out of School Time,P.S. /I.S.298 DR. BETTY SHABAZ,Brooklyn,CAMBA  ,(718) 922-0796,Elementary,85 Watkins Street,11212,40.670986,-73.908194
333,334,After-School Programs,Out of School Time,M353 NEW HEIGHTS ACADEMY,Manhattan,Inwood House,(212) 234-2754,Middle School,1818 AMSTERDAM AVENUE,10031,40.828497999999996,-73.945239
334,335,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./H.S 80 MICHAEL J. PETRIDE,Staten Island,"Police Athletic League, Inc.",(718) 390-0876,Elementary,715 Ocean Terrace,10301,40.608517,-74.102078
335,336,"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Refugee and Immigrant Services,Brooklyn,"Guardians of the Sick, Inc.",(718) 777-6326,Adults,"1416 Ave
M ",11230,40.617962,-73.960396
336,337,"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),"Sunnyside Community Services, Inc.",Queens,"Sunnyside Community Service, Inc.",718.784.6173 ext. 429,16 to 21,43 31 39th Street,11104,40.74519,-73.92590899999999
337,338,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,NEW YORK HARBOR SCHOOL (K551),Brooklyn,Citizens Advice,(212) 748-8594, High School,400 IRVING AVENUE,11237,40.69697,-73.910791
338,339,After-School Programs,Out of School Time,P.S. 1 P.S. 1 - BERGEN SCHOOL,Brooklyn,SCO Family of Services,(718) 788-3500,Elem/MS,309 47th Street,11220,40.649042,-74.012289
339,340,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 214 CADWALLADER COLDEN SC,Queens,"Police Athletic League, Inc.",(718) 353-8457,OST,31 15 140 STREET,11354,40.770387,-73.82861700000001
340,341,After-School Programs,Out of School Time,Edith & Carl Marks MS,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,(718) 331-6800,Middle School,7802 Bay Parkway,11214,40.606369,-73.989235
341,342,After-School Programs,Out of School Time,04M435 MANHATTAN CENTER FOR SC,Manhattan,The Childrens Aid Society,(212) 876-6268,High School,280 Pleasant Avenue,10029,40.794476,-73.933565
342,343,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 200 BENSON SCHOOL,Brooklyn,YMCA of Greater New York/Prospect Park,(917) 842-7569,OST,1940 BENSON AVENUE,11214,40.603188,-74.001408
343,344,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Chinese American Planning Council,Queens,Chinese American Planning Council,212.941.0920,High School,136 18 39th Avenue,11354,40.760329999999996,-73.829831
344,345,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,Make the Road New York,Brooklyn,Make the Road New York,718-418-7690 X 205,Adult,"391 Grove Street
Program Site ",11237,40.700955,-73.913163
345,346,After-School Programs,Teen Action Program,JHS 072 Catherine and Count Basie,Queens,The Child Center of NY,718.322.4953,13 to 21,133 25 Guy R Brewer Boulevard,11434,40.673769,-73.775951
347,348,"Family Support,NDA Programs", Housing,Mothers on the Move,Bronx,Grand Street Settlement,(646) 459-3002,Adults,928 Intervale Ave,10459,40.820063,-73.896742
348,349,After-School Programs,Out of School Time,HS For Teaching Arts,Queens,"Samuel Field YM & YWHA, Inc.",(718) 479-3920,High School,74 20 Commonwealth Boulevard,11426,40.746088,-73.727535
349,350,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Clinton Senior Housing,Bronx,Project Home,(718) 542-0006,Seniors,2070 Clinton Avenue,10457,40.847235999999995,-73.888101
350,351,Jobs & Internships,Young Adult Internship Program,Wildcat Service Corporation,Bronx,Wildcat Service Corporation,718.617.1378,16 to 24,647 Bryant Avenue,10474,40.813190000000006,-73.885181
351,352,After-School Programs,Out of School Time,P.S. 130 PARKSIDE SCHOOL,Brooklyn,"University Settlement Society of New York, Inc",(917) 828-6377,Elementary,70 OCEAN PARKWAY,11218,40.648884,-73.975607
352,353,"Family Support,NDA Programs", Housing,Citizens Advice Bureau,Bronx,Castle Hill School (JHS 127),(718) 293-0727,Adults,1477 Townsend Avenue,10452,40.841504,-73.915639
353,354,After-School Programs,Out of School Time,Italian American Civil,Brooklyn,Italian American Civil Rights League (Italian American Civil,(718) 642-2180,High School,1460 Pennsylvania Avenue,11239,40.646068,-73.879786
354,355,After-School Programs,Teen Action Program,IS 061 Leonardo Da Vinci,Queens,New York Junior Tennis League,718.786.7110 ext. 8126,13 to 21,98 50 50th Avenue,11368,40.742668,-73.86330699999999
355,356,"NDA Programs,Senior Programs,Older Adult Program",Seniors,BCA Sunset Park Asian Senior Center,Brooklyn,MS 216,(718) 438-0008,Seniors,5010 8th Avenue,11220,40.640997999999996,-74.003848
356,357,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 207 ELIZABETH LEARY SCHOOL,Brooklyn,Bergen Beach Youth Organization,(917) 533-3724,Elementary,4011 FILLMORE AVENUE,11234,40.613353000000004,-73.93012900000001
357,358,After-School Programs,Beacon,MS 117,Bronx,Community Association Progressive Dominicans,718.466.1806,6 and up,1865 Morris Avenue,10453,40.848516,-73.908427
358,359,After-School Programs,Teen Action Program,Jewish Institute of Queens,Queens,Jewish Institute of Queens,718.426.9369 or 646.670.8952,13 to 21,60 05 Woodhaven Boulevard,11373,40.731256,-73.871561
359,360,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Chinese American Planning Council - Queens,Queens,Chinese American Planning Council - Queens ,718-358-8899  x132,14 to 24,"136 18 39th Avenue
flr ",11354,40.760329999999996,-73.829831
360,361,After-School Programs,Out of School Time,Arrow,Queens,Brooklyn Center For Urban Environment,(718) 788-8500,Elem/MS,35 30 35th Street,11106,40.756073,-73.92576700000001
361,362,After-School Programs,Out of School Time,Nazareth Regional HS,Brooklyn,"Police Athletic League, Inc.",(718) 763-1100,High School,475 57th Street,11220,40.64162,-74.01509399999999
362,363,After-School Programs,Out of School Time,Saratoga Inn,Queens,Homes for the Homeless,(718) 244-0670,Elementary,175 15 Rockaway Boulevard,11434,40.657786,-73.77031
363,364,"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,The Door,Manhattan,The Door - A Center of Alternatives,212-941-9090 ext. 3280,20-May,121 6th Avenue,10013,40.723903,-74.00469
364,365,"NDA Programs,Senior Programs,Older Adult Program",Seniors,International Tower for Seniors,Queens,JHS 142 JOHN PHILIP SOUSA (X142),(800) 624-8474,Seniors,90 20 170th Street,11432,40.708578,-73.79057900000001
365,366,After-School Programs,Out of School Time,P.S. 36 ST. ALBANS SCHOOL,Queens,Charosa Foundation Corporation,(718) 723-1400,Elementary,187 01 Foch Boulevard,11412,40.690828,-73.76390699999999
366,367,"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),Brooklyn Job Corps Academy,Brooklyn,Arbor Employment and Training,718.623.4031,16 to 21,585 DeKalb Avenue,11205,40.691223,-73.952765
368,369,After-School Programs,Out of School Time,Mosholu Center 1 H.S.,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 882-4000,High School,3450 Dekalb Avenue,10467,40.881485999999995,-73.881226
369,370,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,Brooklyn,Chinese American Planning Council,(212) 941-0041 x 302,16+,4812 9th Avenue,11220,40.640545,-74.000731
370,371,After-School Programs,Out of School Time,P.S. 217 COL. DAVID MARCUS SCHOOL,Brooklyn,Flatbush Development Corporation,(718) 859-3800,Elementary,1100 NEWKIRK AVENUE,11230,40.63398,-73.96655799999999
371,372,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Youth Education Thru Sports,Manhattan,New York City Mission Society,212-368-8400,14 to 24,646 Malcolm X Blvd,10037,40.818813,-73.937414
374,375,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Pan American International High School (PAIHS),Bronx,Citizens Advice Bureau,(718) 732-7523, High School,1300 Boynton Avenue,10472,40.831601,-73.878912
375,376,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,BROOKLYN EXCELSIOR CHARTER (K731),Brooklyn,SEBCO St Barnabas Senior Housing,(212) 630-9680,Middle School,856 QUINCY STREET,11221,40.689842,-73.925506
376,377,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,2600 Ocean Avenue,11229,40.598158000000005,-73.95118599999999
377,378,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 56 LOUIS DE SARIO SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 987-8111,OST,250 KRAMER AVENUE,10309,40.542246,-74.21400200000001
378,379,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"Chinese-American Planning Council, Inc/Brooklyn Branch",Brooklyn,Chinese American Planning Council,212.941.0920,High School,4101 8th Avenue,11232,40.64607,-73.998544
379,380,After-School Programs,Out of School Time,P.S. 150 P.S. 150,Queens,"Sunnyside Community Service, Inc.",(718) 392-6365,Elementary,40 01 43rd Avenue,11104,40.745537,-73.923776
380,381,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524),Brooklyn,Park Slope Women's Shelter,(212) 226-2116, High School,883 CLASSON AVENUE,11225,40.670349,-73.96169499999999
381,382,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 239 P.S. 239,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,OST,1715 Weirfield Street,11385,40.699149,-73.90379899999999
382,383,After-School Programs,Out of School Time,Bnos Ahavas Israel,Brooklyn,National Society For Hebrew Day Schools,(718) 252-4446,High School,12 Franklin Avenue,11249,40.699034000000005,-73.958945
384,385,After-School Programs,Out of School Time,Brooklyn Prep,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,257 6th Street,11215,40.672411,-73.987711
385,386,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Yeshiva Kehilath Yakov - Boys,Brooklyn,Yeshiva Kehilath Yakov,(718) 972-2900,OST,4706 10th Avenue,11219,40.640015000000005,-73.997694
386,387,After-School Programs,Out of School Time,P.S. 163 FLUSHING HEIGHTS SCHOOL,Queens,New York Junior Tennis League,(347) 417-8189,Elementary,159 01 59th Avenue,11365,40.740565000000004,-73.80913100000001
387,388,After-School Programs,Out of School Time,P.S. 2 ALFRED ZIMBERG SCHOOL,Queens,Hellenic American Neighborhood Action Committee (HANAC),(718) 728-1459,Elementary,75 10 21st Avenue,11370,40.770334999999996,-73.894476
388,389,After-School Programs,Out of School Time,I.S. 254,Bronx,Community Association of Progressive Dominicans,(718) 220-8700,Middle School,2452 Washington Avenue,10458,40.858815,-73.890232
389,390,After-School Programs,Out of School Time,Harvey Milk HS,Manhattan,"Hetrick-Martin Institute, Inc.",(212) 674-2400,High School,2 Astor Place,10003,40.730038,-73.992632
390,391,After-School Programs,Out of School Time,I.S. 311 ESSENCE SCHOOL,Brooklyn,SCO Family of Services,(718) 485-5130,Middle School,590 SHEFFIELD AVENUE,11207,40.662326,-73.894441
391,392,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Flatbush Club (middle school),Brooklyn,Madison Square Boys & Girls Club,(718) 462-6100,OST,2245 Bedford Avenue,11226,40.649122,-73.955765
392,393,"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),YWCA of Queens,Queens,YWCA of Queens,718.353.4553,16 to 21,42 07 Parsons Boulevard,11355,40.757857,-73.81907700000001
393,394,Jobs & Internships,Young Adult Internship Program,The Child Center of NY,Queens,"The Child Center of NY, Inc",347.571.2441,16 to 24,163 18 Jamaica Avenue,11432,40.704799,-73.796524
394,395,After-School Programs,Out of School Time,United Community Day Care,Brooklyn,"United Community Day Care Center, Inc",(718) 385-1201,Elementary,613 New Lots Avenue,11207,40.664728000000004,-73.886561
395,396,After-School Programs,Out of School Time,P.S. 71 FOREST SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,Elementary,62 85 Forest Avenue,11385,40.711203000000005,-73.905286
396,397,After-School Programs,Beacon,IS 232,Brooklyn,Sesame Flyers International Inc.,718.221.8880,6 and up,905 Winthrop Avenue,11203,40.658429999999996,-73.929076
397,398,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Castle Hill School (JHS 127),Bronx,SHoP Architects,(212) 652-2812,Middle School,1560 Purdy Street,10462,40.837931,-73.853524
398,399,After-School Programs,Out of School Time,BRONX LAB SCHOOL,Bronx,Federation Employment & Guidance Services (FEGS),(718) 696-3700,High School,800 Gun Hill Road,10467,40.875953,-73.86197
399,400,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Brooklyn,"Big Brothers/Big Sisters, Inc.",212.994.7742,14-Nov,280 Shepherd Avenue,11208,40.677725,-73.881715
400,401,"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.E.S. 88 THE SIDNEY SILVERSTE,Bronx,New Settlement Apartments,(718) 538-8051,OST,1340 Sheridan Avenue,10456,40.837275,-73.913574
401,402,"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,718-943-6325,A parent 16 Years Old or Older ,7802 Bay Parkway,11214,40.606369,-73.989235
402,403,After-School Programs,Out of School Time,C.E.S. 55 BENJAMIN FRANKLIN SC,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 681-6227,Elementary,450 SAINT PAULS PLACE,10456,40.836403999999995,-73.90501400000001
404,405,After-School Programs,Out of School Time,Salvation Army/Bushwick,Brooklyn,The Salvation Army,(212) 337-7254,High School,1151 Bushwick Avenue,11221,40.689133,-73.91748299999999
405,406,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,MS 216,Bronx,Mount Hope Community Center,(718) 732-7523,Middle School,977 Fox Street,10459,40.822443,-73.893902
406,407,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 227 EDWARD B SHALLOW (K227),Brooklyn,Highbridge Gardens,(718) 236-5266,Middle School,6500 16 AVENUE,11204,40.62191,-73.99502199999999
408,409,After-School Programs,Out of School Time,Brownsville Center,Brooklyn,The Salvation Army,(212) 337-7254,High School,280 Riverdale Avenue,11212,40.661364,-73.906124
409,410,After-School Programs,Teen Action Program,Pathways College Preparatory School: A College Board School,Queens,"Sports and Arts In Schools Foundation, Inc.",718.454.5097 ,13 to 21,109 89 204 Street,11412,40.70646,-73.753579
410,411,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718-882-4000  x279,14 to 24,3450 Dekalb Avenue,10467,40.881485999999995,-73.881226
411,412,After-School Programs,Beacon,MS 45,Bronx,Good Shepherd Services,718.367.9577,6 and up,2502 Lorillard Place,10458,40.859034,-73.886913
412,413,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 346 ABE STARK SCHOOL,Brooklyn,New York Junior Tennis League,(718) 642-6538,OST,1400 Pennsylvania Ave,11239,40.647259999999996,-73.881114
413,414,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507),Brooklyn,PS 173,(718) 951-5015, High School,400 PENNSYLVANIA AVENUE,11207,40.667456,-73.894747
414,415,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA RAVENSWOOD HOUSES,Queens,HANAC @Ravenswood Community Center,(718) 786-3131,6 and up,35 40 21st Street,11106,40.760808000000004,-73.93592
415,416,After-School Programs,Out of School Time,YMCA,Queens,YMCA of Greater New York/Flushing,(718) 961-6880,High School,138 46 Northern Blvd,11354,40.764119,-73.82714200000001
416,417,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Amistad Early Ed Center,Queens,Amistad Early Childhood Educational Center Inc,(718) 526-5911,Elementary,110 15 164th Place,11433,40.693627,-73.786987
417,418,After-School Programs,Out of School Time,New Life Child Develop. #2,Brooklyn,New Life Child Development Corporation,(718) 417-4206,Elementary,408 Grove Street,11237,40.701223999999996,-73.912863
418,419,After-School Programs,Out of School Time,x343,Bronx,"Just Us, Inc.",(718) 292-3883,Middle School,345 Brook Avenue,10454,40.81004,-73.917792
419,420,After-School Programs,Out of School Time,M.S. 135 FRANK D. WHALEN SCHOO,Bronx,"Sports and Arts In Schools Foundation, Inc.",(212) 945-8373,Middle School,2441 Wallace Avenue,10467,40.862109000000004,-73.864577
420,421,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 130 HERNANDO DESOTO SCHOOL,Manhattan,Chinese American Planning Council,(212) 431-8574,Elementary,143 Baxter Street,10013,40.718903000000005,-73.99843800000001
421,422,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 130 PARKSIDE SCHOOL,Brooklyn,"University Settlement Society of New York, Inc",(917) 828-6377,OST,70 OCEAN PARKWAY,11218,40.648884,-73.975607
422,423,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA JOHNSON HOUSES,Manhattan,SCAN @James Weldon Johnson Community Center,(212) 289-8819,6 and up,1820 Lexington Avenue,10029,40.796524,-73.943167
423,424,After-School Programs,Out of School Time,C.S. 50 CLARA BARTON SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 589-7284,Elementary,1550 Vyse Avenue,10460,40.834157,-73.887512
424,425,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Haitian American (Sterling pl),Brooklyn,Haitian American ,(718) 771-3800,OST,813 Sterling Place,11216,40.672613,-73.95161
