"","location_code","location_name","Location_Category_Description","primary_address_line_1","State_code","LONGITUDE","LATITUDE","NTA_Name","Principal_phone_number","fax_number","community_school_sup_name"
"573","K668","Riverdale Avenue Middle School","Junior High-Intermediate-Middle","76 RIVERDALE AVENUE","NY","-73.913508","40.659618","Brownsville","718-346-0764","718-346-1783","PATE, MIATHERESA"
"574","K669","Research and Service High School","High school","1700 FULTON STREET","NY","-73.931604","40.678478","Crown Heights North","718-804-6800","718-804-6801","NULL"
"575","K670","Benjamin Banneker Academy","High school","71-77 CLINTON AVENUE","NY","-73.968759","40.695389","Clinton Hill","718-797-3702","718-797-3862","NULL"
"576","K671","Mott Hall Bridges Academy","Junior High-Intermediate-Middle","210 CHESTER STREET","NY","-73.911279","40.666187","Brownsville","718-345-6912","718-345-6918","PATE, MIATHERESA"
"577","K672","New Eagle Academy at K455","Secondary School","1700 FULTON STREET","NY","-73.931604","40.678478","Crown Heights North","NULL","NULL","MARTIN, YOLANDA"
"578","K673","East Brooklyn Community High School","High school","9517 KINGS HIGHWAY","NY","-73.920658","40.659914","Rugby-Remsen Village","718-927-6880","718-927-6885","NULL"
"579","K674","City Polytechnic High School of Engineering, Archi","High school","105 TECH PLACE","NY","-73.986105","40.695444","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","718-875-1473","718-875-1947","NULL"
"580","K674","City Polytechnic High School of Engineering, Archi","High school","105 TECH PLACE","NY","-73.986105","40.695444","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","718-875-1473","718-875-1947","NULL"
"581","K676","Red Hook Neighborhood School","Elementary","27 HUNTINGTON STREET","NY","-74.005151","40.677914","Carroll Gardens-Columbia Street-Red Hook","718-330-2238","718-596-6446","SKOP, ANITA"
"582","K677","East New York Elementary School of Excellence","Elementary","605 SHEPHERD AVENUE","NY","-73.879131","40.669358","East New York","718-272-6075","718-272-6257","THOMAS MCBRYDE JR"
"583","K678","East New York Middle School of Excellence","Junior High-Intermediate-Middle","605 SHEPHERD AVENUE","NY","-73.879131","40.669358","East New York","718-257-4061","718-257-4738","THOMAS MCBRYDE JR"
"584","K680","Achievement First Aspire Charter School","Elementary","982 HEGEMAN AVENUE","NY","-73.876084","40.665817","East New York","718-623-2660","718-622-5998","NULL"
"585","K681","Madiba Prep Middle School","Junior High-Intermediate-Middle","1014 LAFAYETTE AVENUE","NY","-73.9317","40.6921","Stuyvesant Heights","718-574-2804","718-574-2805","MARTIN, YOLANDA"
"586","K681","Madiba Prep Middle School","Junior High-Intermediate-Middle","1014 LAFAYETTE AVENUE","NY","-73.9317","40.6921","Stuyvesant Heights","718-574-2804","718-574-2805","MARTIN, YOLANDA"
"587","K682","The Academy of Talented Scholars","Elementary","50 AVENUE P","NY","-73.986678","40.606994","Bensonhurst East","718-621-2730","718-621-2735","COSTANTINO, KARINA"
"588","K683","School for Classics High School","High school","370 FOUNTAIN AVENUE","NY","-73.874537","40.67002","East New York","718-277-1069","718-277-1873","NULL"
"589","K684","Millennium Brooklyn HS","High school","237 7 AVENUE","NY","-73.97858","40.669255","Park Slope-Gowanus","718-832-4333","718-499-2126","NULL"
"590","K685","El Puente Academy for Peace and Justice","High school","250 HOOPER STREET","NY","-73.955741","40.70554","Williamsburg","718-387-1125","718-387-4229","NULL"
"591","K686","Brooklyn School of Inquiry","K-8","50 AVENUE P","NY","-73.986678","40.606994","Bensonhurst East","718-621-5730","718-621-5735","COSTANTINO, KARINA"
"592","K688","The Brooklyn Academy of Global Finance","High school","125 STUYVESANT AVENUE","NY","-73.932254","40.691467","Stuyvesant Heights","718-574-3126","718-574-3681","MARTIN, YOLANDA"
"593","K689","Citizens of the World Charter School 1 Williamsbur","Elementary","424 LEONARD STREET","NY","-73.947932","40.719818","Greenpoint","718-384-1386","NULL","NULL"
"594","K690","Brooklyn Studio Secondary School","Secondary School","8310 21ST AVENUE","NY","-73.995084","40.60498","Bensonhurst West","718-266-5032","718-266-5093","NULL"
"595","K691","Fort Greene Preparatory Academy","Junior High-Intermediate-Middle","100 CLERMONT AVENUE","NY","-73.971644","40.69453","Fort Greene","718-254-9401","718-254-9407","SAMUELS, KAMAR"
"596","K692","Citizens of the World Charter School New York 2 Cr","Elementary","791 EMPIRE BOULEVARD","NY","-73.935753","40.663964","Crown Heights South","718-221-5095","NULL","NULL"
"597","K693","Northside Charter High School","High school","424 LEONARD STREET","NY","-73.947932","40.719818","Greenpoint","347-390-1273","347-390-1274","NULL"
"598","K694","Believe Southside Charter High School","High school","424 LEONARD STREET","NY","-73.947932","40.719818","Greenpoint","347-390-1275","347-390-1276","NULL"
"599","K697","Teachers Preparatory High School","Secondary School","226 BRISTOL STREET","NY","-73.912102","40.665568","Brownsville","718-498-2605","718-345-8069","NULL"
"600","K698","South Brooklyn Community High School","High school","173 CONOVER STREET","NY","-74.014363","40.677968","Carroll Gardens-Columbia Street-Red Hook","718-237-8902","718-422-1927","NULL"
"601","K701","Brooklyn Charter School","Elementary","545 WILLOUGHBY AVENUE","NY","-73.947256","40.69447","Bedford","718-302-2085","718-302-2426","NULL"
"602","K702","Community Partnership Charter School","K-8","241 EMERSON PLACE","NY","-73.961134","40.691275","Clinton Hill","718-399-3824","718-399-2149","NULL"
"603","K703","Beginning With Children Charter School","K-8","850 KENT AVENUE","NY","-73.959999","40.695397","Bedford","718-388-8847","718-388-8936","NULL"
"604","K704","Explore Charter School","K-8","655 PARKSIDE AVENUE","NY","-73.951575","40.656423","Prospect Lefferts Gardens-Wingate","718-703-4484","718-703-8550","NULL"
"605","K705","Brooklyn Arts and Science Elementary School","Elementary","443 ST MARKS AVENUE","NY","-73.960093","40.6771","Crown Heights North","718-230-0851","NULL","ELLIS, CLARENCE"
"606","K707","Brooklyn Prospect Charter School","K-12 all grades","3002 FORT HAMILTON PARKWAY","NY","-73.97872","40.647893","Windsor Terrace","347-889-7041","347-889-7083","NULL"
"607","K710","Brownsville Collegiate Charter School","Junior High-Intermediate-Middle","364 SACKMAN STREET","NY","-73.90514","40.668768","Brownsville","718-636-0370","347-296-8321","NULL"
"608","K711","Leadership Preparatory Brownsville Charter School","K-8","985 ROCKAWAY AVENUE","NY","-73.906662","40.655644","Brownsville","718-669-7461","718-228-6496","NULL"
"609","K712","Excellence Girls Charter School","K-12 all grades","794 MONROE STREET","NY","-73.924422","40.6881","Stuyvesant Heights","718-638-1875","718-228-6670","NULL"
"610","K721","P.S. K721 - Brooklyn Occupational Training Center","High school","64 AVENUE X","NY","-73.981925","40.58807","Gravesend","718-996-8199","718-449-2176","LOUISSAINT, KETLER"
"611","K722","New Heights Middle School","Junior High-Intermediate-Middle","790 EAST NEW YORK AVENUE","NY","-73.936313","40.662092","Prospect Lefferts Gardens-Wingate","718-467-4501","718-467-4506","ELLIS, CLARENCE"
"612","K724","Leadership Prep Canarsie Charter School (Leadershi","K-8","1070 EAST 104 STREET","NY","-73.892797","40.644134","Canarsie","718-250-5767","212-881-9666","NULL"
"613","K726","Fahari Academy Charter School","Secondary School","72 VERONICA PLACE","NY","-73.95348","40.648352","Erasmus","718-282-5139","718-282-5397","NULL"
"614","K728","Liberation Diploma Plus","High school","2865 WEST 19TH STREET","NY","-73.985413","40.576976","Seagate-Coney Island","718-946-6812","718-946-6825","NULL"
"615","K730","Summit Academy Charter School","Secondary School","27 HUNTINGTON STREET","NY","-74.005151","40.677914","Carroll Gardens-Columbia Street-Red Hook","718-875-1403","718-875-1891","NULL"
"616","K731","Brooklyn Excelsior Charter School","K-8","856 QUINCY STREET","NY","-73.925087","40.689569","Stuyvesant Heights","718-246-5681","718-246-5864","NULL"
"617","K733","Math, Engineering, and Science Academy Charter Hig","High school","231 PALMETTO STREET","NY","-73.915217","40.695875","Bushwick North","718-282-7426","718-919-1479","NULL"
"618","K734","The Ethical Community Charter School (TECCS)","Elementary","700 PARK AVENUE","NY","-73.948166","40.697377","Bedford","718-599-2176","718-599-2814","NULL"
"619","K736","New American Academy Charter School","Elementary","9301 AVENUE B","NY","-73.914282","40.651642","Rugby-Remsen Village","718-385-1709","718-385-1856","NULL"
"620","K737","Brownsville Ascend Charter School","K-8","1501 PITKIN AVENUE","NY","-73.918123","40.668608","Brownsville","718-240-9162","718-240-9140","NULL"
"621","K738","New Visions Charter High School for Advanced Math","High school","3000 AVENUE X","NY","-73.936635","40.593157","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","718-934-9240","718-934-9171","NULL"
"622","K739","New Visions Charter High School for the Humanities","High school","3000 AVENUE X","NY","-73.936635","40.593157","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","718-368-4145","718-368-4148","NULL"
"623","K740","Brooklyn Scholars Charter School","K-8","2635 LINDEN BOULEVARD","NY","-73.867138","40.669356","East New York","718-348-9360","718-348-9362","NULL"
"624","K741","Success Academy Crown Heights (Brooklyn 7)","Elementary","330 CROWN STREET","NY","-73.949243","40.665757","Crown Heights South","646-790-2129","914-462-3286","NULL"
"625","K742","Explore Empower Charter School","K-8","188 ROCHESTER AVENUE","NY","-73.928917","40.67271","Crown Heights North","718-771-2090","718-771-2128","NULL"
"626","K744","Coney Island Preparatory Public Charter School","K-12 all grades","501 WEST AVENUE","NY","-73.972009","40.582518","West Brighton","718-513-6951","718-513-6955","NULL"
"627","K744","Coney Island Preparatory Public Charter School","K-12 all grades","501 WEST AVENUE","NY","-73.972009","40.582518","West Brighton","718-513-6951","718-513-6955","NULL"
"628","K745","Brooklyn Institute for Liberal Arts","High school","600 KINGSTON AVENUE","NY","-73.943839","40.658671","Prospect Lefferts Gardens-Wingate","718-221-1097","718-221-1794","NULL"
"629","K746","Hebrew Language Academy Charter School","K-8","2186 MILL AVENUE","NY","-73.914312","40.612258","Georgetown-Marine Park-Bergen Beach-Mill Basin","718-377-7200","718-377-7220","NULL"
"630","K747","P.S. 747 A Great Start Academy","Elementary","51 CHRISTOPHER AVENUE","NY","-73.906018","40.672216","Brownsville","NULL","NULL","PATE, MIATHERESA"
"631","K748","P.S. 748 Brooklyn School for Global Scholars","Elementary","1664 BENSON AVENUE","NY","-74.007469","40.606739","Bath Beach","718-382-3130","718-382-3140","COSTANTINO, KARINA"
"632","K749","Brooklyn High School For Young Men","High school","362 SCHERMERHORN STREET","NY","-73.979829","40.686147","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","NULL","NULL","SKOP, ANITA"
"633","K751","Academy for Health Careers","High school","150 ALBANY AVENUE","NY","-73.939282","40.675905","Crown Heights North","718-773-0128","718-773-0648","NULL"
"634","K752","Success Academy Fort Greene (Brooklyn 5)","Elementary","101 PARK AVENUE","NY","-73.976104","40.697177","Fort Greene","646-790-2137","914-462-3407","NULL"
"635","K753","P.S. K753 - School for Career Development","High school","510 CLERMONT AVENUE","NY","-73.969248","40.682576","Fort Greene","718-857-4646","718-857-0565","LOUISSAINT, KETLER"
"636","K756","Success Academy Prospect Heights (Brooklyn 6)","K-8","760 PROSPECT PLACE","NY","-73.951559","40.673943","Crown Heights North","646-790-2121","646-514-2070","NULL"
"637","K756","Success Academy Prospect Heights (Brooklyn 6)","K-8","760 PROSPECT PLACE","NY","-73.951559","40.673943","Crown Heights North","646-790-2121","646-514-2070","NULL"
"638","K757","Unity Prep Charter School","Secondary School","432 MONROE STREET","NY","-73.940859","40.686213","Stuyvesant Heights","718-455-5046","718-455-5049","NULL"
"639","K758","Brooklyn Urban Garden Charter School","Junior High-Intermediate-Middle","500 19TH STREET","NY","-73.982624","40.656202","Windsor Terrace","718-280-9556","NULL","NULL"
"640","K759","Canarsie Ascend Charter School","Elementary","9719 FLATLANDS AVENUE","NY","-73.900432","40.643834","Canarsie","347-713-0101","NULL","NULL"
"641","K760","Highland Park Community School","Junior High-Intermediate-Middle","528 RIDGEWOOD AVENUE","NY","-73.869434","40.685852","Cypress Hills-City Line","718-235-1785","718-235-4190","THOMAS MCBRYDE JR"
"642","K763","Brooklyn Science and Engineering Academy","Junior High-Intermediate-Middle","5404 TILDEN AVENUE","NY","-73.925592","40.647851","Rugby-Remsen Village","718-240-3790","718-240-3791","WILKINS, BEVERLY"
"643","K764","The Urban Assembly School for Collaborative Health","High school","999 JAMAICA AVENUE","NY","-73.869305","40.693002","park-cemetery-etc-Brooklyn","718-277-1572","718-277-6041","NULL"
"644","K765","Nelson Mandela High School","High school","1700 FULTON STREET","NY","-73.931604","40.678478","Crown Heights North","718-804-6805","718-804-6808","NULL"
"645","K766","The International Charter School of New York","Elementary","55 Willoughby Street","NY","-73.986867","40.692434","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","NULL","NULL","NULL"
"646","K769","Hyde Leadership Charter School- Brooklyn","Elementary","330 ALABAMA AVENUE","NY","-73.898249","40.667985","East New York (Pennsylvania Ave)","718-495-5620","718-495-5827","NULL"
"647","K770","P.S. 770 New American Academy","Elementary","60 EAST  94 STREET","NY","-73.927979","40.663388","Rugby-Remsen Village","718-221-5837","718-221-5947","ELLIS, CLARENCE"
"648","K771","P.S. K771","K-12 all grades","1075 OCEAN VIEW AVENUE","NY","-73.955856","40.58026","Brighton Beach","718-891-3600","718-769-0017","LOUISSAINT, KETLER"
"649","K772","Success Academy Charter School - Bensonhurst - New","Elementary","99 AVENUE P","NY","-73.984985","40.608135","Bensonhurst East","347-514-7082","646-219-1663","NULL"
"650","K774","Achievement First Apollo Charter School","K-8","350 LINWOOD STREET","NY","-73.884211","40.677112","East New York","718-235-2647","718-235-2649","NULL"
"651","K775","Leadership Preparatory Ocean Hill Charter School","K-12 all grades","51 CHRISTOPHER AVENUE","NY","-73.906018","40.672216","Brownsville","718-250-5767","718-250-5768","NULL"
"652","K777","Ocean Hill Collegiate Charter School","Junior High-Intermediate-Middle","1137 HERKIMER STREET","NY","-73.915106","40.678124","Ocean Hill","718-250-5765","718-250-5766","NULL"
"653","K780","Brooklyn East Collegiate Charter School","Junior High-Intermediate-Middle","832 MARCY AVENUE","NY","-73.947873","40.684654","Bedford","718-250-5760","718-260-5761","NULL"
"654","K781","Success Academy Charter School - Bergen Beach - Ne","Elementary","1420 EAST  68 STREET","NY","-73.912914","40.620537","Georgetown-Marine Park-Bergen Beach-Mill Basin","347-817-2017","347-521-7879","NULL"
"655","K782","Bedford Stuyvesant New Beginnings Charter School","K-8","82 LEWIS AVENUE","NY","-73.937717","40.694676","Stuyvesant Heights","718-453-1001","718-452-2090","NULL"
"656","K784","Achievement First North Brooklyn Prep Charter Scho","Elementary","200 WOODBINE STREET","NY","-73.915159","40.693542","Bushwick South","347-471-2690","347-402-1818","NULL"
"657","K785","Imagine Me Leadership Charter School","Elementary","818 SCHENCK AVENUE","NY","-73.883469","40.660077","East New York","347-985-2140","347-985-2145","NULL"
"658","K788","Achievement First Linden Elementary School","Elementary","800 VAN SICLEN AVE","NY","-73.885704","40.659934","East New York","347-471-2700","718-228-3778","NULL"
"659","K789","Compass Charter School","Elementary","300 ADELPHI STREET","NY","-73.971474","40.688769","Fort Greene","212-437-8372","NULL","NULL"
"660","K790","Central Brooklyn Ascend Charter School","Elementary","465 EAST  29 STREET","NY","-73.948982","40.638957","Erasmus","347-464-7600","NULL","NULL"
"661","K791","Brooklyn Dreams Charter School","K-8","259 PARKVILLE AVENUE","NY","-73.969887","40.632149","Flatbush","718-859-8400","347-586-0347","NULL"
"662","K792","The Cultural Arts Academy at Spring Creek Charter","Elementary","1400 LINDEN BOULEVARD","NY","-73.908341","40.65452","Brownsville","718-683-3300","718-272-1330","NULL"
"663","K793","Bushwick Ascend Charter School","K-8","751 KNICKERBOCKER AVENUE","NY","-73.90892","40.693748","Bushwick North","347-289-9080","718-366-3916","NULL"
"664","K796","Lefferts Gardens Charter School","Elementary","601 PARKSIDE AVENUE","NY","-73.95381","40.656276","Prospect Lefferts Gardens-Wingate","718-284-1480","718-284-2162","NULL"
"665","K797","New Hope Academy Charter School","Elementary","475 EAST   57 STREET","NY","-73.922733","40.643897","Rugby-Remsen Village","718-337-8303","NULL","NULL"
"666","K803","Brooklyn LAB Charter School","Junior High-Intermediate-Middle","77 Sands Street","NY","-73.987399","40.70043","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","347-593-8369","914-612-9127","NULL"
"667","K807","Collegiate Academy for Math and Personal Awareness","Junior High-Intermediate-Middle","1962-84 LINDEN BLVD.","NY","-73.888775","40.65787","East New York","347-619-6800","NULL","NULL"
"668","K811","P.S. K811 Connie Lekas School","Secondary School","2525 HARING STREET","NY","-73.93861","40.591132","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","718-769-6984","718-648-7816","LOUISSAINT, KETLER"
"669","K821","Sunset Park Prep","Junior High-Intermediate-Middle","4004 4 AVENUE","NY","-74.007596","40.652127","Sunset Park West","718-840-1951","718-840-1962","SKOP, ANITA"
"670","K839","M.S. 839","Junior High-Intermediate-Middle","713 CATON AVENUE","NY","-73.973363","40.647598","Windsor Terrace","718-686-2730","718-686-2735","SKOP, ANITA"
"671","K876","Achievement First Voyager Charter School","Secondary School","601 PARKSIDE AVENUE","NY","-73.95381","40.656276","Prospect Lefferts Gardens-Wingate","347-471-2640","NULL","NULL"
"672","K879","Brooklyn Prospect Charter School Downtown","K-8","1104 FULTON STREET","NY","-73.956832","40.681102","Clinton Hill","NULL","NULL","NULL"
"673","K882","Success Academy Charter School - Bushwick","Elementary","139 MENAHAN STREET","NY","-73.919653","40.695975","Bushwick South","NULL","NULL","NULL"
"674","K883","Success Academy Charter School - Bed Stuy 3","Junior High-Intermediate-Middle","787 LAFAYETTE AVENUE","NY","-73.940749","40.691472","Stuyvesant Heights","NULL","NULL","NULL"
"675","K886","Success Academy Charter School - Flatbush","Elementary","15 SNYDER AVENUE","NY","-73.957501","40.64879","Erasmus","NULL","NULL","NULL"
"676","K889","P.S. 889","Elementary","21 HINCKLEY PLACE","NY","-73.97101","40.644861","Kensington-Ocean Parkway","929-397-9171","718-935-3159","BOVE, JULIA"
"677","K890","M.S. 890","Junior High-Intermediate-Middle","21 HINCKLEY PLACE","NY","-73.97101","40.644861","Kensington-Ocean Parkway","929-397-9200","929-397-9205","BOVE, JULIA"
"678","K892","Brooklyn Emerging Leaders Academy","High school","125 STUYVESANT AVENUE","NY","-73.932254","40.691467","Stuyvesant Heights","347-491-8320","347-491-8320","NULL"
"679","K895","Hebrew Language Academy Charter School 2","Elementary","1870 Stillwell Avenue","NY","-73.986345","40.600808","Bensonhurst East","718-825-5610","718-777-7220","NULL"
"680","K896","The School of Creativity and Innovation","Elementary","736 48TH STREET","NY","-74.004306","40.643018","Sunset Park East","929-419-6049","929-419-6062","SKOP, ANITA"
"681","K898","The Brooklyn Green School","Junior High-Intermediate-Middle","130 ROCHESTER AVENUE","NY","-73.928673","40.674491","Crown Heights North","929-397-3340","929-397-3339","MARTIN, YOLANDA"
"682","K907","Legacy School of the Arts","Junior High-Intermediate-Middle","590 SHEFFIELD AVENUE","NY","-73.894877","40.662243","East New York (Pennsylvania Ave)","929-397-2967","929-397-2969","THOMAS MCBRYDE JR"
"683","K910","Cypress Hills Ascend Charter School","Early Childhood","396 GRANT AVENUE","NY","-73.867071","40.681183","Cypress Hills-City Line","NULL","NULL","NULL"
"684","K911","Edmund W. Gordon Brooklyn Laboratory Charter Schoo","Secondary School","77 Sands Street","NY","-73.987399","40.70043","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","NULL","NULL","NULL"
"685","K912","Key Collegiate Charter School","Elementary","250 BLAKE AVENUE","NY","-73.910292","40.665264","Brownsville","347-633-6059","646-604-4427","NULL"
"686","K912","Key Collegiate Charter School","Elementary","250 BLAKE AVENUE","NY","-73.910292","40.665264","Brownsville","347-633-6059","646-604-4427","NULL"
"687","K915","I.S. 915","Junior High-Intermediate-Middle","105 TECH PLACE","NY","-73.986105","40.695444","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","NULL","NULL","SAMUELS, KAMAR"
"688","K915","I.S. 915","Junior High-Intermediate-Middle","105 TECH PLACE","NY","-73.986105","40.695444","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","NULL","NULL","SAMUELS, KAMAR"
"689","K927","Ivy Hill Preparatory Charter School","Elementary","475 EAST   57 STREET","NY","-73.922733","40.643897","Rugby-Remsen Village","NULL","NULL","NULL"
"690","K928","Brooklyn Prospect Charter School 15.2","Junior High-Intermediate-Middle","3002 FORT HAMILTON PARKWAY","NY","-73.97872","40.647893","Windsor Terrace","NULL","NULL","NULL"
"691","K929","East Brooklyn Ascend Charter School","Junior High-Intermediate-Middle","396 GRANT AVENUE","NY","-73.867071","40.681183","Cypress Hills-City Line","NULL","NULL","NULL"
"692","K930","LEEP Dual Language Academy","Elementary","5323 5 AVENUE","NY","-74.012089","40.642877","Sunset Park East","NULL","NULL","NULL"
"693","K933","Lefferts Gardens Ascend Charter School","Elementary","870 ALBANY AVENUE","NY","-73.939706","40.652671","East Flatbush-Farragut","NULL","NULL","NULL"
"694","K934","East Flatbush Ascend Charter School","Elementary","870 ALBANY AVENUE","NY","-73.939706","40.652671","East Flatbush-Farragut","NULL","NULL","NULL"
"695","K937","Brooklyn RISE Charter School","Elementary","473 53 STREET","NY","-74.01214","40.643747","Sunset Park West","NULL","NULL","NULL"
"696","K971","School of Math, Science, and Healthy Living","Elementary","6214 4TH AVENUE","NY","-74.020343","40.639518","Sunset Park West","718-765-2200","718-765-2205","COSTANTINO, KARINA"
"697","M001","P.S. 001 Alfred E. Smith","Elementary","8 HENRY STREET","NY","-73.997478","40.71255","Chinatown","212-267-4133","212-267-4469","CHUMNEY, DONALDA"
"698","M002","P.S. 002 Meyer London","Elementary","122 HENRY STREET","NY","-73.991523","40.712907","Lower East Side","212-964-0350","212-608-4080","CHUMNEY, DONALDA"
"699","M003","P.S. 003 Charrette School","Elementary","490 HUDSON STREET","NY","-74.005949","40.732603","West Village","212-691-1183","212-675-5306","CHUMNEY, DONALDA"
"700","M004","P.S. 004 Duke Ellington","Elementary","500 WEST 160 STREET","NY","-73.941594","40.834877","Washington Heights South","212-928-0739","212-928-4142","RAMIREZ, MANUEL"
"701","M005","P.S. 005 Ellen Lurie","Elementary","3703 TENTH AVENUE","NY","-73.922277","40.857633","Marble Hill-Inwood","212-567-8109","212-567-6526","RAMIREZ, MANUEL"
"702","M006","P.S. 006 Lillie D. Blake","Elementary","45 EAST  81 STREET","NY","-73.960427","40.777737","Upper East Side-Carnegie Hill","212-452-6650","212-452-6645","CHUMNEY, DONALDA"
"703","M007","P.S. 007 Samuel Stern","K-8","160 EAST 120 STREET","NY","-73.939374","40.800616","East Harlem North","212-860-5827","212-860-6070","ESTRELLA, ALEXANDRA"
"704","M008","P.S. 008 Luis Belliard","Elementary","465 WEST 167 STREET","NY","-73.936614","40.839235","Washington Heights South","212-928-4157","212-928-4072","RAMIREZ, MANUEL"
"705","M009","P.S. 009 Sarah Anderson","Elementary","100 WEST  84 STREET","NY","-73.974256","40.785234","Upper West Side","212-678-2812","212-873-4681","LOUGHLIN, CHRISTINE"
"706","M010","JHS 010 Frederick Douglas","Junior High-Intermediate-Middle","2581 7TH AVENUE","NY","-73.9371","40.8243","Central Harlem North-Polo Grounds","212-491-4107","212-491-4414","Gale Reeves"
"707","M011","P.S. 011 William T. Harris","Elementary","320 WEST  21 STREET","NY","-74.000743","40.744186","Hudson Yards-Chelsea-Flatiron-Union Square","212-929-1743","212-989-7816","CHUMNEY, DONALDA"
"708","M012","Tag Young Scholars","K-8","240 EAST 109 STREET","NY","-73.942285","40.792556","East Harlem South","212-860-6003","212-831-1842","ESTRELLA, ALEXANDRA"
"709","M013","J.H.S. 013 Jackie Robinson","Junior High-Intermediate-Middle","1573 MADISON AVENUE","NY","-73.948488","40.793649","East Harlem South","212-860-8935","212-860-5933","ESTRELLA, ALEXANDRA"
"710","M015","P.S. 015 Roberto Clemente","Elementary","333 EAST  4 STREET","NY","-73.978747","40.722075","Lower East Side","212-228-8730","212-477-0931","CHAN, CARRY"
"711","M017","JHS 017 La Salle","Junior High-Intermediate-Middle","328 WEST  48 STREET","NY","-73.988","40.7614","Clinton","212-330-9400","212-330-9480","Daria Rigney"
"712","M018","P.S. 018 Park Terrace","K-8","4124 9 AVENUE","NY","-73.911732","40.871456","Marble Hill-Inwood","917-521-2220","212-304-1423","RAMIREZ, MANUEL"
"713","M019","P.S. 019 Asher Levy","Elementary","185 1 AVENUE","NY","-73.984496","40.730009","East Village","212-533-5340","212-673-1477","CHAN, CARRY"
"714","M020","P.S. 020 Anna Silver","Elementary","166 ESSEX STREET","NY","-73.986312","40.721305","Chinatown","212-254-9577","212-254-3526","CHAN, CARRY"
"715","M028","P.S. 028 Wright Brothers","Elementary","475 WEST 155 STREET","NY","-73.942023","40.83163","Washington Heights South","212-690-3014","212-368-5978","RAMIREZ, MANUEL"
"716","M030","P.S. 030 Hernandez/Hughes","Elementary","144-176 EAST 128 STREET","NY","-73.935461","40.805653","East Harlem North","212-876-1825","212-876-4034","RUX, DANIKA"
"717","M033","P.S. 033 Chelsea Prep","Elementary","281 9 AVENUE","NY","-74.000238","40.749014","Hudson Yards-Chelsea-Flatiron-Union Square","212-244-6426","212-629-6893","CHUMNEY, DONALDA"
"718","M034","P.S. 034 Franklin D. Roosevelt","K-8","730 EAST  12 STREET","NY","-73.975058","40.726008","Lower East Side","212-228-4433","212-353-1973","CHAN, CARRY"
"719","M035","P.S. 035","K-12 all grades","317 WEST  52ND STREET","NY","-73.985899","40.764129","Clinton","212-247-4307","212-315-2814","LOUISSAINT, KETLER"
"720","M036","P.S. 036 Margaret Douglas","Elementary","123 MORNINGSIDE DRIVE","NY","-73.957409","40.810705","Morningside Heights","212-690-5807","212-690-5811","RUX, DANIKA"
"721","M037","River East Elementary","Elementary","2351 FIRST AVENUE","NY","-73.93374","40.799265","East Harlem North","212-802-3035","212-289-9231","ESTRELLA, ALEXANDRA"
"722","M038","P.S. 38 Roberto Clemente","Elementary","232 EAST 103 STREET","NY","-73.944762","40.788668","East Harlem South","212-860-5882","212-860-6093","ESTRELLA, ALEXANDRA"
"723","M040","P.S. 040 Augustus Saint-Gaudens","Elementary","320 EAST 20TH STREET","NY","-73.981536","40.735328","Gramercy","212-475-5500","212-533-5388","CHUMNEY, DONALDA"
"724","M040","P.S. 040 Augustus Saint-Gaudens","Elementary","320 EAST 20TH STREET","NY","-73.981536","40.735328","Gramercy","212-475-5500","212-533-5388","CHUMNEY, DONALDA"
"725","M041","P.S. 041 Greenwich Village","Elementary","116 WEST  11 STREET","NY","-73.999094","40.73545","West Village","212-675-2756","212-924-0910","CHUMNEY, DONALDA"
"726","M042","P.S. 042 Benjamin Altman","Elementary","71 HESTER STREET","NY","-73.990826","40.716126","Chinatown","212-226-8410","212-431-7384","CHUMNEY, DONALDA"
"727","M044","J.H.S. M044 William J. O'Shea","Junior High-Intermediate-Middle","100 WEST  77 STREET","NY","-73.977602","40.780536","Upper West Side","917-441-1163","212-501-0912","CARVAJAL, SARA"
"728","M045","M.S. 45/S.T.A.R.S. Prep Academy","Junior High-Intermediate-Middle","2351 1ST AVENUE","NY","-73.93374","40.799265","East Harlem North","212-860-5838","212-860-5837","CORTAZZO, LUZ"
"729","M046","P.S. 046 Arthur Tappan","K-8","2987 FREDERICK DOUGLASS BOULEVARD","NY","-73.9363","40.8304","Central Harlem North-Polo Grounds","212-360-1519","212-360-1610","RUX, DANIKA"
"730","M047","47 The American Sign Language and English Secondar","High school","223 EAST 23 STREET","NY","-73.981329","40.738374","Gramercy","917-326-6668","917-326-6688","NULL"
"731","M048","P.S. 048 P.O. Michael J. Buczek","Elementary","4360-78 BROADWAY","NY","-73.933629","40.853193","Washington Heights North","917-521-3800","917-521-3805","RAMIREZ, MANUEL"
